rating_id_description,rating_description
G,This program is suitable for all ages
NC-17,unsuitable for children under 17
NR,not rated
PG,may find unsuitable for younger children. I would say it is the same as TV-PG
PG-13,for children over 13
R,restricted - only for children over 12
TV-14,This program contains some material that many parents would find unsuitable for children under 14 years of age
TV-G,This program is suitable for all ages
TV-MA,This program is specifically designed to be viewed by adults and therefore may be unsuitable for children under 17
TV-PG,This program contains material that parents may find unsuitable for younger children (Parental Guidance)
TV-Y,This program is designed to be appropriate for all children
TV-Y7,This program is designed for children age 7 and above
TV-Y7-FV,Fantasy violence (exclusive to the TV-Y7 rating)
UR,not rated as in (unrated)
